web-scraper-order,web-scraper-start-url,MatchLink,MatchLink-href,f_boxer,s_boxer,f_boxer_result,f_boxer_stance,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_drawn,f_boxer_KOs,f_boxer_ranking,s_boxer_ranking,s_boxer_age,s_boxer_stance,s_boxer_reach,s_boxer_height,s_boxer_won,s_boxer_lost,s_boxer_drawn,s_boxer_KOs,rounds
"1607603381-150","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/7922/11934","Wladimir Klitschko","Biko Botowamungu","won DQ","orthodox","21","6′ 6″   /   198cm","81″   /   206cm","10","0","0","9","","","40","orthodox","76″   /   193cm","6′ 3″   /   190cm","9","5","1","9","Wladimir Klitschko
    
      
      
    
                    
won DQ
        
round 4"
"1607603361-144","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/7610/11394","Wladimir Klitschko","Carlos Monroe","won DQ","orthodox","20","6′ 6″   /   198cm","81″   /   206cm","4","0","0","4","","","32","orthodox","80½″   /   204cm","6′ 6″   /   198cm","8","2","0","5","Wladimir Klitschko
    
      
      
    
                    
won DQ
        
round 6"
"1607603569-207","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/721333/2012278","Wladimir Klitschko","Tyson Fury","won UD","orthodox","39","6′ 6″   /   198cm","81″   /   206cm","64","3","0","53","","1","27","orthodox","85″   /   216cm","6′ 9″   /   206cm","24","0","0","18","Wladimir Klitschko"
"1607603391-153","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8067/12206","Wladimir Klitschko","Jerry Halstead","won TKO","6′ 6″   /   198cm","orthodox","81″   /   206cm","","13","0","0","","36.99
points",".101
points","orthodox","6′ 1″   /   185cm","","74″   /   188cm","85","18","1","","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 2"
"1607603562-205","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/695409/1917998","Wladimir Klitschko","Kubrat Pulev","won KO","orthodox","38","6′ 6″   /   198cm","81″   /   206cm","62","3","0","52","","11","33","orthodox","79½″   /   202cm","6′ 4½″   /   194cm","20","0","0","11","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 5"
"1607603475-179","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/211122/334143","Wladimir Klitschko","Ray Mercer","won TKO","orthodox","26","6′ 6″   /   198cm","81″   /   206cm","38","1","0","34","","","41","orthodox","77″   /   196cm","6′ 1″   /   185cm","30","4","1","22","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 6"
"1607603501-187","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/454334/990950","Wladimir Klitschko","Samuel Peter","won UD","orthodox","29","6′ 6″   /   198cm","81″   /   206cm","44","3","0","39","","184","25","orthodox","77″   /   196cm","6′ 2″   /   188cm","24","0","0","21","Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12"
"1607603410-159","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8345/12670","Wladimir Klitschko","Najee Shaheed","won KO","orthodox","22","6′ 6″   /   198cm","81″   /   206cm","19","0","0","16","","","30","southpaw","74″   /   188cm","6′ 0½″   /   184cm","16","0","1","8","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1"
"1607603523-193","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/551798/1297785","Wladimir Klitschko","Tony Thompson","won KO","orthodox","32","6′ 6″   /   198cm","81″   /   206cm","50","3","0","43","","","36","southpaw","81½″   /   207cm","6′ 5″   /   196cm","31","1","0","19","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 11"
"1607603504-188","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/487670/1063319","Chris Byrd","Wladimir Klitschko","won TKO","southpaw","35","6′ 2″   /   188cm","74″   /   188cm","39","2","1","20","","","30","orthodox","81″   /   206cm","6′ 6″   /   198cm","45","3","0","39","Chris Byrd"
"1607603443-169","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8824/13482","Wladimir Klitschko","Axel Schulz","won TKO","orthodox","23","6′ 6″   /   198cm","81″   /   206cm","28","1","0","25","","","30","orthodox","76″   /   193cm","6′ 3″   /   191cm","26","3","1","11","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 8"
"1607603401-156","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8142/12344","Wladimir Klitschko","Marcus McIntyre","won KO","orthodox","21","6′ 6″   /   198cm","81″   /   206cm","16","0","0","14","","","28","orthodox","77″   /   196cm","6′ 4″   /   193cm","15","1","0","8","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 3"
"1607603377-149","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/7863/12651","Wladimir Klitschko","Gilberto Williamson","won TKO","6′ 6″   /   198cm","orthodox","81″   /   206cm","","9","0","0","","29.65
points",".363
points","orthodox","6′ 3″   /   190cm","","74″   /   188cm","4","2","3","","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 3"
"1607603508-189","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/499326/1105384","Wladimir Klitschko","Calvin Brock","won TKO","orthodox","30","6′ 6″   /   198cm","81″   /   206cm","46","3","0","40","","","31","orthodox","77″   /   196cm","6′ 2″   /   188cm","29","0","0","22","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 7"
"1607603420-162","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8452/12860","Wladimir Klitschko","Eli Dixon","won TKO","orthodox","22","6′ 6″   /   198cm","81″   /   206cm","22","0","0","19","","","32","orthodox","79″   /   201cm","6′ 2″   /   188cm","21","4","1","14","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 3"
"1607603351-141","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/7484/11171","Wladimir Klitschko","Exum Speight","won TKO","6′ 6″   /   198cm","orthodox","81″   /   206cm","","1","0","0","","20.15
points",".180
points","orthodox","6′ 0″   /   183cm","","71″   /   180cm","8","30","2","","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 2"
