f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,f_boxer_ranking,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,s_boxer_ranking,matchRounds,fightEnd,winner
Wladimir Klitschko,Alexander Povetkin,won,37,198,206.0,60,3,51,6,34,188.0,191.0,26,0,18,16,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Francesco Pianeta,won,37,198,206.0,59,3,50,6,28,196.0,203.0,28,0,15,24,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Bryant Jennings,won,39,198,206.0,63,3,53,6,30,191.0,213.0,19,0,10,9,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Monte Barrett,won,24,198,206.0,33,1,30,6,29,191.0,198.0,23,1,14,24,7.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Carlos Monroe,won,22,198,206.0,20,0,17,6,33,198.0,204.0,11,6,7,24,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Sultan Ibragimov,won,31,198,206.0,49,3,43,6,32,188.0,193.0,22,0,17,24,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Jean Marc Mormeck,won,35,198,206.0,56,3,48,6,39,181.0,188.0,36,4,22,24,4.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Biko Botowamungu,won,21,198,206.0,10,0,9,6,40,190.0,193.0,9,5,9,24,4.0,DQ,Wladimir Klitschko
Wladimir Klitschko,Carlos Monroe,won,20,198,206.0,4,0,4,6,32,198.0,204.0,8,2,5,24,6.0,DQ,Wladimir Klitschko
Wladimir Klitschko,Kubrat Pulev,won,38,198,206.0,62,3,52,6,33,194.0,202.0,20,0,11,2,5.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Ray Mercer,won,26,198,206.0,38,1,34,6,41,185.0,196.0,30,4,22,24,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Samuel Peter,won,29,198,206.0,44,3,39,6,25,188.0,196.0,24,0,21,7,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Najee Shaheed,won,22,198,206.0,19,0,16,6,30,184.0,188.0,16,0,8,24,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Tony Thompson,won,32,198,206.0,50,3,43,6,36,196.0,207.0,31,1,19,24,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Axel Schulz,won,23,198,206.0,28,1,25,6,30,191.0,193.0,26,3,11,24,8.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Marcus McIntyre,won,21,198,206.0,16,0,14,6,28,193.0,196.0,15,1,8,24,3.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Calvin Brock,won,30,198,206.0,46,3,40,6,31,188.0,196.0,29,0,22,24,7.0,KO/TKO,Wladimir Klitschko
