wladimir klitschko,derrick jefferson,won,24,198,206.0,35,1,31,33,198.0,208.0,23,2,19,2.0,ko/tko,wladimir klitschko
wladimir klitschko,eliseo castillo,won,29,198,206.0,43,3,38,29,188.0,199.414634146341,18,0,14,4.0,ko/tko,wladimir klitschko
wladimir klitschko,eddie chambers,won,33,198,206.0,53,3,46,27,185.0,191.0,35,1,18,2.0,ko/tko,wladimir klitschko
wladimir klitschko,frans botha,won,25,198,206.0,37,1,33,33,188.0,188.0,44,3,28,8.0,ko/tko,wladimir klitschko
wladimir klitschko,phil jackson,won,23,198,206.0,29,1,26,35,185.0,201.0,43,8,39,2.0,ko/tko,wladimir klitschko
wladimir klitschko,alex leapai,won,38,198,206.0,61,3,51,34,183.0,190.0,30,4,24,5.0,ko/tko,wladimir klitschko
wladimir klitschko,mariusz wach,won,36,198,206.0,58,3,50,32,202.0,208.0,27,0,15,2.0,ud,wladimir klitschko
wladimir klitschko,everett martin,won,23,198,206.0,25,1,22,34,182.0,183.0,20,29,9,8.0,ko/tko,wladimir klitschko
wladimir klitschko,tony thompson,won,36,198,206.0,57,3,49,40,196.0,207.0,36,2,24,6.0,ko/tko,wladimir klitschko
wladimir klitschko,steve pannell,won,22,198,206.0,21,0,18,31,193.0,193.0,33,4,27,2.0,ko/tko,wladimir klitschko
wladimir klitschko,fabian meza,won,20,198,206.0,0,0,0,27,187.0,188.0,4,1,1,1.0,ko/tko,wladimir klitschko
lamon brewster,wladimir klitschko,won,30,188,196.0,29,2,26,28,198.0,206.0,42,2,38,5.0,ko/tko,lamon brewster
wladimir klitschko,troy weida,won,20,198,206.0,3,0,3,24,191.0,191.0,6,1,6,3.0,ko/tko,wladimir klitschko
wladimir klitschko,lajos eros,won,23,198,206.0,30,1,27,35,187.0,188.0,21,8,11,2.0,ko/tko,wladimir klitschko
corrie sanders,wladimir klitschko,won,37,193,196.0,38,2,28,26,198.0,206.0,40,1,36,2.0,ko/tko,corrie sanders
wladimir klitschko,bill corrigan,won,20,198,206.0,2,0,2,33,193.0,193.0,10,12,7,1.0,ko/tko,wladimir klitschko
wladimir klitschko,fabio eduardo moli,won,27,198,206.0,40,2,36,34,194.0,199.414634146341,29,2,17,1.0,ko/tko,wladimir klitschko
wladimir klitschko,davarryl williamson,won,28,198,206.0,42,3,38,36,193.0,203.0,20,2,17,5.0,unknown,wladimir klitschko
wladimir klitschko,danell nicholson,won,27,198,206.0,41,2,37,36,193.0,203.0,42,4,32,4.0,ko/tko,wladimir klitschko
wladimir klitschko,tony larosa,won,23,198,206.0,26,1,23,31,178.0,183.0,31,15,18,1.0,ko/tko,wladimir klitschko
wladimir klitschko,cody koch,won,22,198,206.0,18,0,15,25,188.0,188.0,25,1,21,4.0,ko/tko,wladimir klitschko
wladimir klitschko,ray austin,won,30,198,206.0,47,3,41,36,198.0,203.0,24,3,16,2.0,ko/tko,wladimir klitschko
wladimir klitschko,lamon brewster,won,31,198,206.0,48,3,42,34,188.0,196.0,33,3,29,6.0,rtd,wladimir klitschko
wladimir klitschko,david bostice,won,24,198,206.0,32,1,29,28,196.0,193.0,22,1,12,2.0,ko/tko,wladimir klitschko
wladimir klitschko,samuel peter,won,34,198,206.0,54,3,47,30,188.0,196.0,34,3,27,0.0,ko/tko,wladimir klitschko
wladimir klitschko,chris byrd,won,24,198,206.0,34,1,31,30,188.0,188.0,31,1,19,2.0,ud,wladimir klitschko
wladimir klitschko,charles shufford,won,25,198,206.0,36,1,32,28,191.0,203.0,17,1,9,6.0,ko/tko,wladimir klitschko
wladimir klitschko,mark wills,won,21,198,206.0,6,0,5,36,185.0,188.0,14,17,9,1.0,ko/tko,wladimir klitschko
wladimir klitschko,hasim rahman,won,32,198,206.0,51,3,44,36,189.0,208.0,45,6,36,7.0,ko/tko,wladimir klitschko
wladimir klitschko,zoran vujicic,won,22,198,206.0,24,1,21,37,193.0,198.0,14,0,6,1.0,ko/tko,wladimir klitschko
wladimir klitschko,joseph chingangu,won,23,198,206.0,27,1,24,32,192.0,198.0,18,4,13,4.0,rtd,wladimir klitschko
wladimir klitschko,ruslan chagaev,won,33,198,206.0,52,3,45,30,185.0,188.0,25,0,17,9.0,rtd,wladimir klitschko
