f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,matchRounds,fightEnd,winner
Wladimir Klitschko,Sultan Ibragimov,won,31.0,198,206.0,49,3,43.0,32.0,188.0,193.0,22,0,17.0,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Jean Marc Mormeck,won,35.0,198,206.0,56,3,48.0,39.0,181.0,188.0,36,4,22.0,4.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Biko Botowamungu,won,21.0,198,206.0,10,0,9.0,40.0,190.0,193.0,9,5,9.0,4.0,DQ,Wladimir Klitschko
Wladimir Klitschko,Carlos Monroe,won,20.0,198,206.0,4,0,4.0,32.0,198.0,204.0,8,2,5.0,6.0,DQ,Wladimir Klitschko
Wladimir Klitschko,Kubrat Pulev,won,38.0,198,206.0,62,3,52.0,33.0,194.0,202.0,20,0,11.0,5.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Ray Mercer,won,26.0,198,206.0,38,1,34.0,41.0,185.0,196.0,30,4,22.0,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Samuel Peter,won,29.0,198,206.0,44,3,39.0,25.0,188.0,196.0,24,0,21.0,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Najee Shaheed,won,22.0,198,206.0,19,0,16.0,30.0,184.0,188.0,16,0,8.0,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Tony Thompson,won,32.0,198,206.0,50,3,43.0,36.0,196.0,207.0,31,1,19.0,1.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Axel Schulz,won,23.0,198,206.0,28,1,25.0,30.0,191.0,193.0,26,3,11.0,8.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Marcus McIntyre,won,21.0,198,206.0,16,0,14.0,28.0,193.0,196.0,15,1,8.0,3.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Calvin Brock,won,30.0,198,206.0,46,3,40.0,31.0,188.0,196.0,29,0,22.0,7.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Eli Dixon,won,22.0,198,206.0,22,0,19.0,32.0,188.0,201.0,21,4,14.0,3.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Derrick Jefferson,won,24.0,198,206.0,35,1,31.0,33.0,198.0,208.0,23,2,19.0,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Eliseo Castillo,won,29.0,198,206.0,43,3,38.0,29.0,188.0,199.414634146341,18,0,14.0,4.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Eddie Chambers,won,33.0,198,206.0,53,3,46.0,27.0,185.0,191.0,35,1,18.0,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Frans Botha,won,25.0,198,206.0,37,1,33.0,33.0,188.0,188.0,44,3,28.0,8.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Phil Jackson,won,23.0,198,206.0,29,1,26.0,35.0,185.0,201.0,43,8,39.0,2.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Alex Leapai,won,38.0,198,206.0,61,3,51.0,34.0,183.0,190.0,30,4,24.0,5.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Mariusz Wach,won,36.0,198,206.0,58,3,50.0,32.0,202.0,208.0,27,0,15.0,2.0,UD,Wladimir Klitschko
Wladimir Klitschko,Everett Martin,won,23.0,198,206.0,25,1,22.0,34.0,182.0,183.0,20,29,9.0,8.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Tony Thompson,won,36.0,198,206.0,57,3,49.0,40.0,196.0,207.0,36,2,24.0,6.0,KO/TKO,Wladimir Klitschko
Wladimir Klitschko,Steve Pannell,won,22.0,198,206.0,21,0,18.0,31.0,193.0,193.0,33,4,27.0,2.0,KO/TKO,Wladimir Klitschko
