"","X","f_boxer","s_boxer","f_boxer_result","f_boxer_stance","f_boxer_age","f_boxer_height","f_boxer_reach","f_boxer_won","f_boxer_lost","f_boxer_drawn","f_boxer_KOs","f_boxer_ranking","s_boxer_ranking","s_boxer_age","s_boxer_stance","s_boxer_reach","s_boxer_height","s_boxer_won","s_boxer_lost","s_boxer_drawn","s_boxer_KOs","s_boxer_result","matchRounds","fightEnd"
"60",60,"Wladimir Klitschko","James Pritchard","won","6′ 6″   /   198cm","NA",206,206.5,11,0,0,"NA",6,24,"NA","6′ 0″   /   183cm",199.414634146341,"188",30,16,2,"NA","lost",3,"KO/TKO"
"61",61,"Wladimir Klitschko","David Haye","won","orthodox","35",198,206,55,3,0,"48",6,24,"30","orthodox",198,"191",25,1,0,"23","lost",2,"UD"
"62",62,"Wladimir Klitschko","Jameel McCline","won","orthodox","26",198,206,39,1,0,"35",6,24,"32","orthodox",208,"198",28,2,3,"16","lost",0,"RTD"
"63",63,"Wladimir Klitschko","Alexander Povetkin","won","orthodox","37",198,206,60,3,0,"51",6,16,"34","orthodox",191,"188",26,0,0,"18","lost",2,"UD"
"64",64,"Wladimir Klitschko","Francesco Pianeta","won","orthodox","37",198,206,59,3,0,"50",6,24,"28","southpaw",203,"196",28,0,1,"15","lost",6,"KO/TKO"
"65",65,"Wladimir Klitschko","Bryant Jennings","won","orthodox","39",198,206,63,3,0,"53",6,9,"30","orthodox",213,"191",19,0,0,"10","lost",2,"UD"
"66",66,"Wladimir Klitschko","Monte Barrett","won","orthodox","24",198,206,33,1,0,"30",6,24,"29","orthodox",198,"191",23,1,0,"14","lost",7,"KO/TKO"
"67",67,"Wladimir Klitschko","Carlos Monroe","won","orthodox","22",198,206,20,0,0,"17",6,24,"33","orthodox",204,"198",11,6,0,"7","lost",6,"KO/TKO"
"68",68,"Wladimir Klitschko","Sultan Ibragimov","won","orthodox","31",198,206,49,3,0,"43",6,24,"32","southpaw",193,"188",22,0,1,"17","lost",2,"UD"
"69",69,"Wladimir Klitschko","Jean Marc Mormeck","won","orthodox","35",198,206,56,3,0,"48",6,24,"39","orthodox",188,"181",36,4,0,"22","lost",4,"KO/TKO"
"70",70,"Wladimir Klitschko","Biko Botowamungu","won","orthodox","21",198,206,10,0,0,"9",6,24,"40","orthodox",193,"190",9,5,1,"9","lost",4,"DQ"
"71",71,"Wladimir Klitschko","Carlos Monroe","won","orthodox","20",198,206,4,0,0,"4",6,24,"32","orthodox",204,"198",8,2,0,"5","lost",6,"DQ"
"72",72,"Wladimir Klitschko","Tyson Fury","lost","orthodox","39",198,206,64,3,0,"53",6,1,"27","orthodox",216,"206",24,0,0,"18","won",NA,"Unknown"
"73",73,"Wladimir Klitschko","Jerry Halstead","won","6′ 6″   /   198cm","NA",206,206.5,13,0,0,"NA",6,24,"NA","6′ 1″   /   185cm",199.414634146341,"188",85,18,1,"NA","lost",2,"KO/TKO"
"74",74,"Wladimir Klitschko","Kubrat Pulev","won","orthodox","38",198,206,62,3,0,"52",6,2,"33","orthodox",202,"194",20,0,0,"11","lost",5,"KO/TKO"
"75",75,"Wladimir Klitschko","Ray Mercer","won","orthodox","26",198,206,38,1,0,"34",6,24,"41","orthodox",196,"185",30,4,1,"22","lost",6,"KO/TKO"
"76",76,"Wladimir Klitschko","Samuel Peter","won","orthodox","29",198,206,44,3,0,"39",6,7,"25","orthodox",196,"188",24,0,0,"21","lost",2,"UD"
"77",77,"Wladimir Klitschko","Najee Shaheed","won","orthodox","22",198,206,19,0,0,"16",6,24,"30","southpaw",188,"184",16,0,1,"8","lost",1,"KO/TKO"
"78",78,"Wladimir Klitschko","Tony Thompson","won","orthodox","32",198,206,50,3,0,"43",6,24,"36","southpaw",207,"196",31,1,0,"19","lost",1,"KO/TKO"
"79",79,"Chris Byrd","Wladimir Klitschko","lost","southpaw","35",188,188,39,2,1,"20",6,24,"30","orthodox",206,"198",45,3,0,"39","won",NA,"Unknown"
"80",80,"Wladimir Klitschko","Axel Schulz","won","orthodox","23",198,206,28,1,0,"25",6,24,"30","orthodox",193,"191",26,3,1,"11","lost",8,"KO/TKO"
"81",81,"Wladimir Klitschko","Marcus McIntyre","won","orthodox","21",198,206,16,0,0,"14",6,24,"28","orthodox",196,"193",15,1,0,"8","lost",3,"KO/TKO"
"82",82,"Wladimir Klitschko","Gilberto Williamson","won","6′ 6″   /   198cm","NA",206,206.5,9,0,0,"NA",6,24,"NA","6′ 3″   /   190cm",199.414634146341,"188",4,2,3,"NA","lost",3,"KO/TKO"
"83",83,"Wladimir Klitschko","Calvin Brock","won","orthodox","30",198,206,46,3,0,"40",6,24,"31","orthodox",196,"188",29,0,0,"22","lost",7,"KO/TKO"
"84",84,"Wladimir Klitschko","Eli Dixon","won","orthodox","22",198,206,22,0,0,"19",6,24,"32","orthodox",201,"188",21,4,1,"14","lost",3,"KO/TKO"
"85",85,"Wladimir Klitschko","Exum Speight","won","6′ 6″   /   198cm","NA",206,206.5,1,0,0,"NA",6,24,"NA","6′ 0″   /   183cm",199.414634146341,"180",8,30,2,"NA","lost",2,"KO/TKO"
"86",86,"Wladimir Klitschko","Salvador Maciel","won","6′ 6″   /   198cm","NA",206,206.5,8,0,0,"NA",6,24,"NA","6′ 2″   /   188cm",199.414634146341,"183",21,11,0,"NA","lost",1,"KO/TKO"
"87",87,"Wladimir Klitschko","Ross Puritty","lost","orthodox","22",198,206,24,0,0,"21",6,24,"31","orthodox",203,"191",24,13,1,"21","won",NA,"Unknown"
"88",88,"Wladimir Klitschko","Mark Young","won","6′ 6″   /   198cm","NA",206,206.5,5,0,0,"NA",6,24,"NA","6′ 1″   /   185cm",199.414634146341,"183",15,33,1,"NA","lost",2,"RTD"
"89",89,"Wladimir Klitschko","Derrick Jefferson","won","orthodox","24",198,206,35,1,0,"31",6,24,"33","orthodox",208,"198",23,2,1,"19","lost",2,"KO/TKO"
"90",90,"Wladimir Klitschko","Eliseo Castillo","won","orthodox","29",198,206,43,3,0,"38",6,24,"29","orthodox",199.414634146341,"188",18,0,1,"14","lost",4,"KO/TKO"
"91",91,"Wladimir Klitschko","Eddie Chambers","won","orthodox","33",198,206,53,3,0,"46",6,24,"27","orthodox",191,"185",35,1,0,"18","lost",2,"KO/TKO"
"92",92,"Wladimir Klitschko","Derrick Lampkins","won","6′ 6″   /   198cm","NA",206,206.5,15,0,0,"NA",6,24,"NA","6′ 5″   /   196cm",199.414634146341,"198",9,3,1,"NA","lost",1,"KO/TKO"
"93",93,"Wladimir Klitschko","Frans Botha","won","orthodox","25",198,206,37,1,0,"33",6,24,"33","orthodox",188,"188",44,3,1,"28","lost",8,"KO/TKO"
"94",94,"Wladimir Klitschko","Donnell Wingfield","won","6′ 6″   /   198cm","NA",206,206.5,23,0,0,"NA",6,24,"NA","6′ 1″   /   185cm",199.414634146341,"185",29,9,1,"NA","lost",1,"KO/TKO"
"95",95,"Wladimir Klitschko","Phil Jackson","won","orthodox","23",198,206,29,1,0,"26",6,24,"35","orthodox",201,"185",43,8,0,"39","lost",2,"KO/TKO"
"96",96,"Wladimir Klitschko","Ladislav Husarik","won","6′ 6″   /   198cm","NA",206,206.5,14,0,0,"NA",6,24,"NA",NA,199.414634146341,NA,4,13,1,"NA","lost",3,"KO/TKO"
"97",97,"Wladimir Klitschko","Alex Leapai","won","orthodox","38",198,206,61,3,0,"51",6,5,"34","orthodox",190,"183",30,4,3,"24","lost",5,"KO/TKO"
"98",98,"Wladimir Klitschko","Mariusz Wach","won","orthodox","36",198,206,58,3,0,"50",6,15,"32","orthodox",208,"202",27,0,0,"15","lost",2,"UD"
"99",99,"Paea Wolfgramm","Wladimir Klitschko","lost","orthodox","30",194,202,18,1,0,"13",6,24,"23","orthodox",206,"198",31,1,0,"28","won",NA,"Unknown"
"100",100,"Wladimir Klitschko","Everett Martin","won","orthodox","23",198,206,25,1,0,"22",6,24,"34","orthodox",183,"182",20,29,1,"9","lost",8,"KO/TKO"
"101",101,"Wladimir Klitschko","Tony Thompson","won","orthodox","36",198,206,57,3,0,"49",6,24,"40","southpaw",207,"196",36,2,0,"24","lost",6,"KO/TKO"
"102",102,"Wladimir Klitschko","Steve Pannell","won","orthodox","22",198,206,21,0,0,"18",6,24,"31","orthodox",193,"193",33,4,0,"27","lost",2,"KO/TKO"
"103",103,"Wladimir Klitschko","Fabian Meza","won","orthodox","20",198,206,0,0,0,"0",6,24,"27","orthodox",188,"187",4,1,1,"1","lost",1,"KO/TKO"
"104",104,"Lamon Brewster","Wladimir Klitschko","won","orthodox","30",188,196,29,2,0,"26",6,24,"28","orthodox",206,"198",42,2,0,"38","lost",5,"KO/TKO"
"105",105,"Wladimir Klitschko","Marcos Gonzalez","won","6′ 6″   /   198cm","NA",206,206.5,12,0,0,"NA",6,24,"NA","6′ 1″   /   185cm",199.414634146341,"188",18,11,1,"NA","lost",2,"KO/TKO"
"106",106,"Wladimir Klitschko","Troy Weida","won","orthodox","20",198,206,3,0,0,"3",6,24,"24","orthodox",191,"191",6,1,1,"6","lost",3,"KO/TKO"
"107",107,"Wladimir Klitschko","Lajos Eros","won","orthodox","23",198,206,30,1,0,"27",6,24,"35","orthodox",188,"187",21,8,1,"11","lost",2,"KO/TKO"
"108",108,"Corrie Sanders","Wladimir Klitschko","won","southpaw","37",193,196,38,2,0,"28",6,24,"26","orthodox",206,"198",40,1,0,"36","lost",2,"KO/TKO"
"109",109,"Wladimir Klitschko","Bill Corrigan","won","orthodox","20",198,206,2,0,0,"2",6,24,"33","orthodox",193,"193",10,12,1,"7","lost",1,"KO/TKO"
"110",110,"Wladimir Klitschko","Fabio Eduardo Moli","won","orthodox","27",198,206,40,2,0,"36",6,24,"34","orthodox",199.414634146341,"194",29,2,0,"17","lost",1,"KO/TKO"
"111",111,"Wladimir Klitschko","DaVarryl Williamson","won","orthodox","28",198,206,42,3,0,"38",6,24,"36","orthodox",203,"193",20,2,0,"17","lost",5,"Unknown"
"112",112,"Wladimir Klitschko","Danell Nicholson","won","orthodox","27",198,206,41,2,0,"37",6,24,"36","orthodox",203,"193",42,4,0,"32","lost",4,"KO/TKO"
"113",113,"Wladimir Klitschko","Tony LaRosa","won","orthodox","23",198,206,26,1,0,"23",6,24,"31","orthodox",183,"178",31,15,0,"18","lost",1,"KO/TKO"
"114",114,"Wladimir Klitschko","Cody Koch","won","orthodox","22",198,206,18,0,0,"15",6,24,"25","southpaw",188,"188",25,1,0,"21","lost",4,"KO/TKO"
"115",115,"Wladimir Klitschko","Ray Austin","won","orthodox","30",198,206,47,3,0,"41",6,12,"36","orthodox",203,"198",24,3,4,"16","lost",2,"KO/TKO"
"116",116,"Wladimir Klitschko","Lamon Brewster","won","orthodox","31",198,206,48,3,0,"42",6,24,"34","orthodox",196,"188",33,3,0,"29","lost",6,"RTD"
"117",117,"Wladimir Klitschko","David Bostice","won","orthodox","24",198,206,32,1,0,"29",6,24,"28","orthodox",193,"196",22,1,1,"12","lost",2,"KO/TKO"
"118",118,"Wladimir Klitschko","Samuel Peter","won","orthodox","34",198,206,54,3,0,"47",6,7,"30","orthodox",196,"188",34,3,0,"27","lost",0,"KO/TKO"
"119",119,"Wladimir Klitschko","Chris Byrd","won","orthodox","24",198,206,34,1,0,"31",6,24,"30","southpaw",188,"188",31,1,0,"19","lost",2,"UD"
"120",120,"Wladimir Klitschko","Charles Shufford","won","orthodox","25",198,206,36,1,0,"32",6,24,"28","orthodox",203,"191",17,1,0,"9","lost",6,"KO/TKO"
"121",121,"Wladimir Klitschko","Mark Wills","won","orthodox","21",198,206,6,0,0,"5",6,24,"36","orthodox",188,"185",14,17,1,"9","lost",1,"KO/TKO"
"122",122,"Wladimir Klitschko","Hasim Rahman","won","orthodox","32",198,206,51,3,0,"44",6,24,"36","orthodox",208,"189",45,6,2,"36","lost",7,"KO/TKO"
"123",123,"Wladimir Klitschko","Zoran Vujicic","won","orthodox","22",198,206,24,1,0,"21",6,24,"37","orthodox",198,"193",14,0,0,"6","lost",1,"KO/TKO"
"124",124,"Wladimir Klitschko","Paul Ashley","won","6′ 6″   /   198cm","NA",206,206.5,7,0,0,"NA",6,24,"NA","6′ 0″   /   183cm",199.414634146341,"183",4,2,1,"NA","lost",2,"KO/TKO"
"125",125,"Wladimir Klitschko","Everett Martin","won","6′ 6″   /   198cm","NA",206,206.5,17,0,0,"NA",6,24,"NA","5′ 11½″   /   182cm",199.414634146341,"183",20,21,1,"NA","lost",8,"UD"
"126",126,"Wladimir Klitschko","Joseph Chingangu","won","orthodox","23",198,206,27,1,0,"24",6,24,"32","southpaw",198,"192",18,4,0,"13","lost",4,"RTD"
"127",127,"Wladimir Klitschko","Ruslan Chagaev","won","orthodox","33",198,206,52,3,0,"45",6,24,"30","southpaw",188,"185",25,0,1,"17","lost",9,"RTD"
